218.25.54.12 - - [26/Sep/2013:04:45:22 -0300] "GET /manager/html HTTP/1.1" 404 975
143.107.162.166 - - [26/Sep/2013:12:21:22 -0300] "POST /remoto//servlet/ProgressBarServlet HTTP/1.1" 200 24
143.107.162.166 - - [26/Sep/2013:12:21:22 -0300] "POST /remoto//servlet/ProgressBarServlet HTTP/1.1" 200 24
143.107.162.166 - - [26/Sep/2013:12:21:23 -0300] "POST /remoto//servlet/ProgressBarServlet HTTP/1.1" 200 24
143.107.162.166 - - [26/Sep/2013:12:21:23 -0300] "POST /remoto//servlet/ProgressBarServlet HTTP/1.1" 200 24
143.107.162.166 - - [26/Sep/2013:12:21:23 -0300] "POST /remoto//servlet/ProgressBarServlet HTTP/1.1" 200 24
143.107.162.166 - - [26/Sep/2013:12:21:23 -0300] "POST /remoto//servlet/ProgressBarServlet HTTP/1.1" 200 24
143.107.162.166 - - [26/Sep/2013:12:21:24 -0300] "POST /remoto//servlet/ProgressBarServlet HTTP/1.1" 200 24
143.107.162.166 - - [26/Sep/2013:12:21:24 -0300] "POST /remoto//servlet/ProgressBarServlet HTTP/1.1" 200 24
143.107.162.166 - - [26/Sep/2013:12:21:24 -0300] "POST /remoto//servlet/ProgressBarServlet HTTP/1.1" 200 24
143.107.162.166 - - [26/Sep/2013:12:21:25 -0300] "POST /remoto//servlet/ProgressBarServlet HTTP/1.1" 200 24
143.107.162.166 - - [26/Sep/2013:12:21:25 -0300] "POST /remoto//servlet/ProgressBarServlet HTTP/1.1" 200 24
143.107.162.166 - - [26/Sep/2013:12:21:25 -0300] "POST /remoto//servlet/ProgressBarServlet HTTP/1.1" 200 24
143.107.162.166 - - [26/Sep/2013:12:21:26 -0300] "POST /remoto//servlet/ProgressBarServlet HTTP/1.1" 200 24
143.107.162.166 - - [26/Sep/2013:12:21:26 -0300] "POST /remoto//servlet/ProgressBarServlet HTTP/1.1" 200 24
143.107.162.166 - - [26/Sep/2013:12:21:26 -0300] "POST /remoto//servlet/ProgressBarServlet HTTP/1.1" 200 24
143.107.162.166 - - [26/Sep/2013:12:21:26 -0300] "POST /remoto//servlet/ProgressBarServlet HTTP/1.1" 200 24
143.107.162.166 - - [26/Sep/2013:12:21:27 -0300] "POST /remoto//servlet/ProgressBarServlet HTTP/1.1" 200 24
143.107.162.166 - - [26/Sep/2013:12:21:27 -0300] "POST /remoto//servlet/ProgressBarServlet HTTP/1.1" 200 24
143.107.162.166 - - [26/Sep/2013:12:21:27 -0300] "POST /remoto//servlet/ProgressBarServlet HTTP/1.1" 200 24
143.107.162.166 - - [26/Sep/2013:12:21:28 -0300] "POST /remoto//servlet/ProgressBarServlet HTTP/1.1" 200 24
143.107.162.166 - - [26/Sep/2013:12:21:28 -0300] "POST /remoto//servlet/ProgressBarServlet HTTP/1.1" 200 24
143.107.162.166 - - [26/Sep/2013:12:21:28 -0300] "POST /remoto//servlet/ProgressBarServlet HTTP/1.1" 200 24
143.107.162.166 - - [26/Sep/2013:12:21:29 -0300] "POST /remoto//servlet/ProgressBarServlet HTTP/1.1" 200 24
143.107.162.166 - - [26/Sep/2013:12:21:29 -0300] "POST /remoto//servlet/ProgressBarServlet HTTP/1.1" 200 24
143.107.162.166 - - [26/Sep/2013:12:21:29 -0300] "POST /remoto//servlet/ProgressBarServlet HTTP/1.1" 200 24
143.107.162.166 - - [26/Sep/2013:12:21:29 -0300] "POST /remoto//servlet/ProgressBarServlet HTTP/1.1" 200 24
143.107.162.166 - - [26/Sep/2013:12:21:30 -0300] "POST /remoto//servlet/ProgressBarServlet HTTP/1.1" 200 24
