143.107.162.166 - - [25/Sep/2013:12:42:58 -0300] "POST /remoto//servlet/ProgressBarServlet HTTP/1.1" 200 24
143.107.162.166 - - [25/Sep/2013:12:42:58 -0300] "POST /remoto//servlet/ProgressBarServlet HTTP/1.1" 200 24
143.107.162.166 - - [25/Sep/2013:12:42:58 -0300] "POST /remoto//servlet/ProgressBarServlet HTTP/1.1" 200 24
143.107.162.166 - - [25/Sep/2013:12:42:59 -0300] "POST /remoto//servlet/ProgressBarServlet HTTP/1.1" 200 24
143.107.162.166 - - [25/Sep/2013:12:42:59 -0300] "POST /remoto//servlet/ProgressBarServlet HTTP/1.1" 200 24
143.107.162.166 - - [25/Sep/2013:12:42:59 -0300] "POST /remoto//servlet/ProgressBarServlet HTTP/1.1" 200 24
143.107.162.166 - - [25/Sep/2013:12:43:00 -0300] "POST /remoto//servlet/ProgressBarServlet HTTP/1.1" 200 24
143.107.162.166 - - [25/Sep/2013:12:43:00 -0300] "POST /remoto//servlet/ProgressBarServlet HTTP/1.1" 200 24
143.107.162.166 - - [25/Sep/2013:12:43:00 -0300] "POST /remoto//servlet/ProgressBarServlet HTTP/1.1" 200 24
143.107.162.166 - - [25/Sep/2013:12:43:01 -0300] "POST /remoto//servlet/ProgressBarServlet HTTP/1.1" 200 24
143.107.162.166 - - [25/Sep/2013:12:43:01 -0300] "POST /remoto//servlet/ProgressBarServlet HTTP/1.1" 200 24
143.107.162.166 - - [25/Sep/2013:12:43:01 -0300] "POST /remoto/simulation.do?task=cancel HTTP/1.1" 302 -
143.107.162.166 - - [25/Sep/2013:12:43:01 -0300] "GET /remoto/jsp/finish.jsp?status=canceled HTTP/1.1" 200 7335
143.107.162.166 - - [25/Sep/2013:12:43:01 -0300] "GET /favicon.ico HTTP/1.1" 404 973
143.107.162.166 - - [25/Sep/2013:12:43:01 -0300] "GET /favicon.ico HTTP/1.1" 404 973
127.0.0.1 - - [25/Sep/2013:12:43:09 -0300] "GET / HTTP/1.1" 404 951
143.107.162.166 - - [25/Sep/2013:12:43:13 -0300] "POST /remoto/simulation.do HTTP/1.1" 200 7365
143.107.162.166 - - [25/Sep/2013:12:43:13 -0300] "POST /remoto//servlet/ProgressBarServlet HTTP/1.1" 200 -
